Question,Answer,Name
"ignis, ignis",m. 3rd fire,"ignis, ignis"
"imāgō, imāginis","f. 3rd image, reflection","imāgō, imāginis"
"immortālitās, immortālitātis",f. 3rd immortality,"immortālitās, immortālitātis"
"imperātor, imperātōris","m. 3rd general, commander-in-chief, emporer","imperātor, imperātōris"
"imperium, imperiī","n. 2nd power to command, supreme power, authority, command, control","imperium, imperiī"
"ingenium, ingeniī","n. 2nd nature, innate talent","ingenium, ingeniī"
"initium, initiī","n. 2nd beginning, commencement","initium, initiī"
"iniūria, iniūriae","f. 1st injustice, injury, wrong","iniūria, iniūriae"
"īnsānia, īnsāniae","f. 1st unsoundness, insanity","īnsānia, īsāniae"
"īnsidiae, īnsidiārum","f. pl. 1st ambush, plot, treachery","īnsidiae, īsidiārum"
"īnsula, īnsulae",f. 1st island,"īnsula, īnsulae"
"invidia, invidiae","f. 1st envy, jealousy, hatred","invidia, invidiae"
"īra, īrae","f. 1st ire, anger","īra, īrae"
"iter, iternis","n. 3rd journey; route, road","iter, iternis"
"iter, iternis","n. 3rd road, way","iter, iternis"
"iūdex, iūdicis","m. 3rd judge, huror","iūdex, iūdicis"
"iūdicium, iūdiciī","n. 2nd judgement, decision, opinion; trial","iūdicium, iūdiciī"
"iūs, iūris","n. 3rd right, justice, law","iūs, iūris"
"iuvenis, iuvenis","m. 3rd young man, youth","iuvenis, iuvenis"
"labor, labōris","m. 3rd labor, work, toil; a work","labor, labōris"
"lacrima, lacrimae",f. 1st tear,"lacrima, lacrimae"
"laus, laudis","f. 3rd praise, glory, fame","laus, laudis"
"lēctor, lēctōris",m. 3rd reader,"lēctor, lēctōris"
"lēctrīx, lēctrīcis",f. 3rd reader,"lēctrīx, lēctrīcis"
"lēx, lēgis","f. 3rd law, statute","lēx, lēgis"
"libellus, libellī",m. 2nd little book,"libellus, libellī"
"liber, librī",m. 2nd book,"liber, librī"
"lībertās, lībertātis",f. 3rd liberty,"lībertās, lībertātis"
"līmen, līminis",n. 3rd threshold,"līmen, līminis"
"lingua, linguae",f. 1st toung; language,"lingua, linguae"
"littera, litterae",f. 1st a letter of the alphabet,"littera, litterae"
"litterae, litterārum","f. pl. 1st a letter (epistle), literature","litterae, litterārum"
"lītus, lītoris","n. 3rd shore, coast","lītus, lītoris"
"loca, locōrum","n. 2nd pl. places, regions","loca, locōrum"
"locī, locōrum",m. 2nd pl. passages in literature,"locī, locōrum"
"locus, locī",m 2nd. place; passage in literature,"locus, locī"
"lūdus, lūdī","m. 2nd game, sport; school","lūdus, lūdī"
"lūna, lūnae",f. 1st moon,"lūna, lūnae"
"lupus, lupī",m. 2nd wolf,"lupus, lupī"
"lūx, lūcis",f. 3rd light,"lūx, lūcis"
"magister, magistrī","m. 2nd schoolmaster, teacher, master","magister, magistrī"
"magistra, magistrae","f. 1st schoolmistress, teacher, mistriss","magistra, magistrae"
"maiōrēs, maiōrum",m. pl. 3rd ancestors,"maiōrēs, maiōrum"
"manus, manūs",f. 4th hand; handwriting; band,"manus, manūs"
"mare, maris",n. 3rd sea,"mare, maris"
"māter, mātris",f. 3rd mother,"māter, mātris"
"medica, medicae","f. 1st doctor, physician","medica, medicae"
"medicus, medicī","m. 2nd doctor, physician","medicus, medicī"
"membrum, membrī","n. 2nd limb, part of the body","membrum, membrī"
"memoria, memoriae","f. 1st memory, recollection","memoria, memoriae"
"mēnsa, mēnsae",f. 1st table,"mēnsa, mēnsae"
"mēta, mētae","turning point, goal; limit, boundary","mēta, mētae"
"metus, metūs","m. 4th fear, dread, anxiety","metus, metūs"
"mīles, mīlitis",m. 3rd soldier,"mīles, mīlitis"
"modus, modī","m. 2nd measure, bound, limit; manner, method, mode, way","modus, modī"
"moenia, moenium",n. pl. 3rd walls of a city,"moenia, moenium"
"mōns, montis",m. 3rd mountain,"mōns, montis"
"monumentum, monumentī",n. 2nd monument,"monumentum, monumentī"
"mora, morae",f. 1st delay,"mora, morae"
"morbus, morbī","m. 2nd disease, sickness","morbus, morbī"
"mōrēs, mōrum","m. pl. 3rd habit, morals, character","mōrēs, mōrum"
"mors, mortis",f. 3rd death,"mors, mortis"
"mortālis, mortālis",3rd a mortal,"mortālis, mortālis"
"mōs, mōris","m. 3rd habit, custom, manner","mōs, mōris"
"mulier, mulieris",f. 3rd woman,"mulier, mulieris"
"mundus, mundī","m. 3rd world, universe","mundus, mundī"
"mūrus, mūrī",m. 3rd wall,"mūrus, mūrī"
"mūsa, mūsae",f. 1st muse,"mūsa, mūsae"
"nāsus, nāsī",m. 2nd nose,"nāsus, nāsī"
"nāta, nātae",f. 1st daughter,"nāta, nātae"
"nātūra, nātūrae",f. 1st nature,"nātūra, nātūrae"
"nauta, nautae",m. 1st sailor,"nauta, nautae"
"nāvis, nāvis","f. 3rd ship, boat","nāvis, nāvis"
"nēmō, nūllīus, nēminī, nēminem, nūllō, or nūllā","m./f. no one, nobody","nēmō, nūllīus, nēminī, nēminem, nūllō, or nūllā"
"nepōs, nepōtis","m. 3rd grandson, descendent","nepōs, nepōtis"
nihil,u. nothing,nihil
"nōmen, nōminis",m. 3rd name,"nōmen, nōminis"
"nox, noctis",f. 3rd night,"nox, noctis"
"nūbēs, nūbis",f. 3rd cloud,"nūbēs, nūbis"
"numerus, numerī",m. 2nd number,"numerus, numerī"
"obsequium, obsequiī",n. 2nd compliance,"obsequium, obsequiī"
"occāsiō, occāsiōnis","f. 3rd occasion, opportunity","occāsiō, occāsiōnis"
"occāsiō, occāsiōnis",f. 3rd opporotunity,"occāsiō, occāsiōnis"
"oculus, oculī",m. 2nd eye,"oculus, oculī"
"odium, odiī",n. 2nd hate,"odium, odiī"
"odium, odiī",n. 2nd hatred,"odium, odiī"
"officium, officiī","n. 2nd duty, service","officium, officiī"
"onus, oneris",n. 3rd load,"onus, oneris"
"opēs, opōrum","f. 3rd pl. power, resources, wealth","opēs, opum"
"ops, opis","f. 3rd help, aid","ops, opis"
"opus, operis","n. 3rd a work, task; deed accomplishment","opus, operis"
"ōrātiō, ōrātiōnis",f. 3rd speech,"ōrātiō, ōrātiōnis"
"ōrātor, ōrātōris","m. 3rd orator, speaker","ōrātor, ōrātōris"
"orbis, orbis","m. 3rd circle, orb","orbis, orbis"
"ōrdō, ōrdinis",m. 3rd rank,"ōrdō, ōrdinis"
"orīgō, orīginis",f. 3rd origin,"orīgō, orīginis"
"ōrnāmentum, ōrnāmentī","n. 2nd decoration, fancy clothing","ōrnāmentum, ōrnāmentī"
"ōs, ōris","n. 3rd mouth, face","ōs, ōris"
"ōsculum, ōsculī",n. 2nd kiss,"ōsculum, ōscilī"
"ōtium, ōtiī","n. 2nd leisure, peace","ōtium, ōtiī"
"ovis, ovis",f. 3rd sheep,"ovis, ovis"
"parēns, parentis",m./f. 3rd parent,"parēns, parentis"
"pars, partis","f. 3rd part, share; direction","pars, partis"
"passer, passeris",m 3rd sparrow,"passer, passeris"
"pater, patris",m. 2nd father,"pater, patris"
"patientia, patientiae","f. 1st suffering; patience, endurance","patientia, patientiae"
"patria, patriae","f. 1st fatherland, native land, (one's) country","patria, patriae"
"paupertās, paupertātis","f. 3rd poverty, humble circumstances","paupertās, paupertātis"
"pāvō, pāvōnis",m. 3rd peacock,"pāvō, pāvõnis"
"pāx, pācis",f. 3rd peace,"pāx, pācis"
"pectus, pectoris","n. 3rd breast, heart","pectus, pectoris"
"pecūnia, pecūniae",f. 1st money,"pecūnia, pecūniae"
"perfugium, perfugiī","n. 2nd refuge, shelter","perfugium, perfugiī"
"perīculum, perīculī","n. 2nd danger, risk","perīculum, perīculī"
"pēs, pedis","m. 3rd lower leg, foot","pēs, pedis"
"philosopha, philosophae",f. 1st philosopher,"philosopha, philosophae"
"philosophia, philosophiae",f. 1st philosophy,"philosophia, philosophiae"
"philosophus, philosophī",m. 2nd philosopher,"philosophus, philosophī"
"plaustrum, plaustrī","n. 2nd wagon, cart","plaustrum, plaustrī"
"plēbs, plēbis","f. 3rd the common people, populace, plebeians","plēbs, plēbis"
"poena, poenae","f. 1st penalty, punishment","poena, poenae"
"poēta, poētae",m. 1st poet,"poēta, poētae"
"populus, populī","m. 2nd the people, a people, a nation","populus, populī"
"porta, portae","f. 1st gate, entrance","porta, portae"
"possessiō, possessiōnis","f. 3rd possession, property","possessiō, possessiōnis"
"praeda, praedae",f. 1st loot,"praeda, praedae"
"praemium, praemiī","n. 2nd reward, prize","premium, praemiī"
"prex, precis",f. 3rd prayer,"prex, precis"
"prīnceps, prīncepis","m. 3rd cheif, prince","prīceps, prīcepis"
"prīnceps, gen. prīncipis","m./f. 3rd leader, emperor","prīnceps, gen. prīncipis"
"prīncipium, prīncipiī",n. 2nd beginning,"prīncipium, prīncipiī"
"probitās, probitātis","f. 3rd uprightness, honesty","probitās, probitātis"
"puella, puellae",f. 1st girl,"puella, puellae"
"puer, puerī","m. 2nd boy, child","puer, puerī"
"ratiō, ratiōnis","f. 3rd reckoning, account; reason, judgment, consideration; system; manner, method","ratiō, ratiōnis"
"recuperātiō, recuperātiōnis",f. 3rd recovery,"recuperātiō, recuperātiōnis"
"rēgīna, rēgīnae",f. 1st queen,"rēgīna, regīnae"
"remedium, remediī","n. 2nd cure, rememdy","remedium, remediī"
"remissiō, remissiōnis","f. 3rd letting go, release; relaxation","remissiō, remissiōnis"
"rēs pūblica, reī pūblicae","f. 1st state, commonwealth, republic","rēs pūblica, reī pūblicae"
"rēs, reī","f. 5th thing, matter, property, businessm affair","rēs, reī"
"rēx, rēgis",m. 3rd king,"rēx, rēgis"
"rosa, rosae",f. 1st rose,"rosa, rosae"
"rota, rotae",f. 1st wheel,"rota, rotae"
"rūmor, rūmōris","m. 3rd rumor, gossip","rūmor, rūmōris"
"rūs, rūris","n. 3rd the country, countryside","rūs, rūris"
"sacerdōs, sacerdōtis",m. 3rd priest,"sacerdōs, sacerdōtis"
"sāl, sālis",m. 3rd salt; wit,"sāl, sālis"
"salūs, salūtis","f. 3rd health, safety; greeting","salūs, salūtis"
"sapiēns, sapientis","m. 3rd wise man, philosopher","sapiēns, sapientis"
"sapientia, sapientiae",f. 1st wisdom,"sapientia, sapientiae"
"sator, satōris","m. 3rd sower, planter; begetter, father; founder","sator, satōris"
"saxum, saxī","n. 2nd rock, stone","saxum, saxī"
"scelus, sceleris","n. 3rd evil deed, crime, sin, wickedness","scelus, sceleris"
"schola, scholae",f. 1st school,"schola, scholae"
"scientia, scientiae",f. 1st knowledge,"scientia, scientiae"
"scopulus, scopulī","m. 2nd rock, cliff","scopulus, scopulī"
"scrīptor, scrīptōris","m. 3rd writer, author","scrīptor, scrīptōris"
"senātus, senātūs",m. 4th senator,"senātus, senātūs"
"senectūs, senectūtis",f. 3rd old age,"senectūs, senectūtis"
"senex, senis",m. 3rd old man,"senex, senis"
"sēnsus, sēnsūs","m. 4th feeling, sense","sēnsus, sēnsūs"
"sententia, sententiae","f. 1st feeling, thought, opinion, vote, sentence","sententia, sententiae"
"serpēns, serpentis","m. 3rd snake, sea-serpent","serpēns, serpentis"
"serva, servae",f. 1st slave,"serva, servae"
"servitūs, servitūtis","f. 3rd servitude, slavery","servitūs, servitūtis"
"servus, servī",m. 2nd slave,"servus, servī"
"sīdus, sīderis","n. 3rd constellation, star","sīdus, sīderis"
"signum, signī","n. 2nd sign, signal, indication; seal","signum, signī"
"silva, silvae","f. 1st forest, wood","silva, silvae"
"simulātiō, simulātiōnis","f. 3rd pretense, insincerity","simulātiō, simulātiōnis"
"sōl, sōlis",m. 3rd the sun,"sōl, sōlis"
"sōlācium, sōlāciī","n. 2nd comfort, relief","sōlācium, sōlāciī"
"somnus, somnī",m. 2nd sleep,"somnus, somnī"
"soror, sorōris",f. 3rd sister,"soror, sorōris"
"speculum, speculī",n. 2nd mirror,"speculum, speculī"
"spēs, speī",f. 5th hope,"spēs, speī"
"spīritus, spīritūs","m. 4th breath, breathing; spirit, soul","spīritus, spīritūs"
"splendor, splendōris","m. 3rd brightness, shine","splendor, splendōris"
"stagnum, stagnī",n. 2nd pool of water,"stagnum, stagnī"
"statua, statuae",f. 1st statue,"statua, statuae"
"stēlla, stēllae","f. 1st star, planet","stēlla, stēllae"
"Stōicus, Stōicī",m. 2nd a Stoic philosopher,"Stōicus, Stōicī"
"studium, studiī","n. 2nd eagerness, zeal, pursuit, study","studium, studiī"
"superī, superōrum",m. pl. 2nd the gods,"superī, superōrum"
"supplicium, suppliciī",n. 2nd punishment,"supplicium, suppliciī"
"taurus, taurī",m. 2nd bull,"taurus, taurī"
"tempestās, tempestātis","f. 3rd period of time, season; weather, storm","tempestās, tempestātis"
"templum, templī",n. 2nd temple,"templum, templī"
"tempus, temporis","n. 3rd time; occasion, opportunity","tempus, temporis"
"terra, terrae","f. 1st earth, ground, land, country","terra, terrae"
"tignum, tignī","n. 2nd log, stick, trunk of a tree","tignum, tignī"
"timor, timōris",m. 3rd fear,"timor, tinōris"
"titulus, titulī","m. 2nd label, title; placard","titulus, titulī"
"tōnsor, tōnsōris",m. 3rd barber,"tōnsor, tōnsōris"
"tragoedia, tragoediae",f. 1st tragedy,"tragoedia, tragoediae"
"trānsitus, trānsitūs","m. 4th passing over, transit; transition","trānsitus, trānsitūs"
"turba, turbae","f. 1st uproar, disturbance; mob, crowd, multitude","turba, turbae"
"tyrannus, tyrannī","m. 2nd absolute ruler, tyrant","tyrannus, tyrannī"
"urbs, urbis",f. 3rd city,"urbs, urbis"
"uxor, uxōris",f. 3rd wife,"uxor, uxōris"
"vēlum, vēlī",n. 2nd sail,"vēlum, vēlī"
"venia, veniae","f. 1st favor, pardon","venia, veniae"
"ventus, ventī",m. 2nd wind,"ventus, ventī"
"verbum, verbī",m. 2nd word,"verbum, verbī"
"vēritās, vēritātis",f. 3rd truth,"vēritās, vēritātis"
"versus, versūs",m. 4th line of verse,"versus, versūs"
"vesper, vesperis or vesperī",m. 3rd evening;evening star,"vesper, vesperis or vesperī"
"via, viae","f. 1st way, road, street","via, viae"
"vīcīna, vīcīnae",f. 1st neighbor,"vīcīna, vīcīnae"
"vīcīnus, vīcīnī",m. 2nd neighbor,"vīcīnus, vīcīnī"
"victima, victimae","f. 1st sacrificial beast, victim","victima, victimae"
"victōria, victōriae",f. 1st victory,"victōria, victōriae"
"vinculum, vinculī","n. 3rd bond, chain, fetter","vinculum, vinculī"
"vīnum, vīnī",n. 2nd wine,"vīnum, vīnī"
"vir, virī","m. 2nd man, hero","vir, virī"
"vīrēs, vīrium",f. 1st pl. strength,"vīrēs, vīrium"
"virgo, virginis","f. 3rd maiden, virgin","virgo, virginis"
"virtūs, virtūtis","f. 3rd manliness, courage; excellence, character, worth, virtue","virtūs, virtūtis"
"vīs, vīs","f. 3rd force, power, violence","vīs, vīs"
"vīta, vītae","f. 1st life, mode of life","vīta, vītae"
"vitium, vitiī","n. 2nd fault, crime, vice","vitium, vitiī"
"voluntās, voluntātis","f. 3rd will, wish","voluntās, voluntātis"
"voluptās, voluptātis",f. 3rd pleasure,"voluptās, voluptātis"
"vōx, vōcis","f. 1st voice, word","vōx, vōcis"
"vulgus, vulgī","n. 2nd the common people, mob, rabble","vulgus, vulgī"
"vulnus, vulneris",n. 3rd wound,"vulnus, vulneris"
"vultus, vultūs","m. 4th countenance, face","vultus, vultūs"
